display_lag_ms,count,percentage
130,7,14.583333333333334
140,4,8.333333333333332
150,1,2.083333333333333
160,4,8.333333333333332
170,1,2.083333333333333
200,2,4.166666666666666
220,1,2.083333333333333
230,6,12.5
240,10,20.833333333333336
250,7,14.583333333333334
260,2,4.166666666666666
270,2,4.166666666666666
280,1,2.083333333333333
